Symbol	POL_number_unique_variants	POL_SNP_cum_AF	POL_SNP_cum_AC	POL_SNP_cum_AN	gnomAD_NFE_number_unique_variants	gnomAD_NFE_SNP_cum_AF	gnomAD_NFE_SNP_cum_AN	gnomAD_NFE_SNP_cum_AC	cum_AF_fold_change	fisher_p	fisher_p_corr	fisher_q
CFAP298	0	0	0	2152	3	0.0003871114	64598	25	-Inf	1	1877	1
CFAP300	1	0.000465116	1	2152	0	0	64598	0	Inf	0.0322397003745318	60.5139176029962	0.605139176029962
CFAP410	2	0.0009298	2	2152	7	0.0010378628	64598	67	-0.158623408639382	1	1877	1
CFAP418	0	0	0	2152	1	0.0000154866	64598	1	-Inf	1	1877	1
CFAP43	0	0	0	2152	4	0.0004027273	64598	26	-Inf	1	1877	1
CFAP53	1	0.000464684	1	2152	1	0.0000309703	64598	2	3.90729270767986	0.0936357732577362	175.754346404771	1
CFAP65	0	0	0	2152	1	0.000030977	64598	2	-Inf	1	1877	1
CFAP91	0	0	0	2152	1	0.0000929109	64598	6	-Inf	1	1877	1
CFB	0	0	0	2152	2	0.0001238669	64598	8	-Inf	1	1877	1
CFD	0	0	0	2152	1	0.0000310106	64598	2	-Inf	1	1877	1
CFI	0	0	0	2152	3	0.000092956	64598	6	-Inf	1	1877	1
CFTR	6	0.014869842	32	2152	77	0.0221261638	64598	1429	-0.573364022521435	0.0242361856948065	45.4913205491518	0.535192006460609
CHAT	0	0	0	2152	7	0.0001548989	64598	10	-Inf	1	1877	1
CHKB	0	0	0	2152	1	0.0000309722	64598	2	-Inf	1	1877	1
CHRNA1	0	0	0	2152	4	0.0000774661	64598	5	-Inf	1	1877	1
CHRNB1	0	0	0	2152	2	0.0000774396	64598	5	-Inf	1	1877	1
CHRND	1	0.000465116	1	2152	5	0.0002481951	64598	16	0.90611593616065	0.427173431482454	801.804530892566	1
CHRNE	3	0.001859601	4	2152	19	0.0028342946	64598	183	-0.607996614734114	0.534004434817295	1002.32632415206	1
CHRNG	2	0.001858734	4	2152	9	0.0013784302	64598	89	0.43129410859959	0.546682004327403	1026.12212212254	1
CHST14	0	0	0	2152	3	0.0000619637	64598	4	-Inf	1	1877	1
CHST6	1	0.000464684	1	2152	4	0.0007125726	64598	46	-0.616787038880784	1	1877	1
CIB2	0	0	0	2152	4	0.0003255118	64598	21	-Inf	1	1877	1
CIBAR1	0	0	0	2152	1	0.0000154981	64598	1	-Inf	1	1877	1
CIITA	0	0	0	2152	2	0.0000310024	64598	2	-Inf	1	1877	1
CILK1	0	0	0	2152	1	0.0000309703	64598	2	-Inf	1	1877	1
CIT	0	0	0	2152	3	0.0000464636	64598	3	-Inf	1	1877	1
CKAP2L	0	0	0	2152	3	0.0001084315	64598	7	-Inf	1	1877	1
CLASP1	0	0	0	2152	16	0.0025397247	64598	164	-Inf	0.0117627506181961	22.0786829103541	0.344979420474282
CLCN1	2	0.000929368	2	2152	35	0.0013474831	64598	87	-0.535945303013264	1	1877	1
CLCN2	0	0	0	2152	7	0.0002020599	64598	13	-Inf	1	1877	1
CLCN7	0	0	0	2152	3	0.0000620069	64598	4	-Inf	1	1877	1
CLCNKB	0	0	0	2152	14	0.000511322	64598	33	-Inf	0.627114656566696	1177.09421037569	1
CLDN14	1	0.000929368	2	2152	3	0.0001238836	64598	8	2.90726475804297	0.0393653413150422	73.8887456483343	0.677878400443434
CLDN16	2	0.001394052	3	2152	3	0.0004490626	64598	29	1.63429589870959	0.0831210688702927	156.018246269539	1
CLN3	0	0	0	2152	10	0.000263315	64598	17	-Inf	1	1877	1
CLN5	0	0	0	2152	8	0.0002942266	64598	19	-Inf	1	1877	1
CLN6	0	0	0	2152	5	0.0001240039	64598	8	-Inf	1	1877	1
CLN8	1	0.000464684	1	2152	7	0.0002478021	64598	16	0.907061557170714	0.427173431482454	801.804530892566	1
CLPB	1	0.000464684	1	2152	4	0.0006505621	64598	42	-0.485436806463744	1	1877	1
CLRN1	1	0.000464684	1	2152	3	0.0001393707	64598	9	1.73732267653355	0.279443124762769	524.514745179717	1
CNGA3	3	0.003252792	7	2152	25	0.0021993416	64598	142	0.564606872247849	0.344327526500367	646.302767241188	1
CNGB1	0	0	0	2152	19	0.0007124896	64598	46	-Inf	0.406053986886351	762.163333385681	1
CNGB3	4	0.004184755	9	2152	25	0.0008529246	64598	55	2.29465304588097	0.000206065733951317	0.386785382626621	0.0143253845417267
CNNM4	0	0	0	2152	2	0.0000309842	64598	2	-Inf	1	1877	1
CNP	0	0	0	2152	1	0.0000154938	64598	1	-Inf	1	1877	1
CNTN2	0	0	0	2152	1	0.000015488	64598	1	-Inf	1	1877	1
CNTNAP1	1	0.000464684	1	2152	3	0.0000464607	64598	3	3.32216717504288	0.122857997716503	230.604461713877	1
CNTNAP2	0	0	0	2152	3	0.0000619492	64598	4	-Inf	1	1877	1
COA3	0	0	0	2152	2	0.000232341	64598	15	-Inf	1	1877	1
COA6	0	0	0	2152	1	0.0000154928	64598	1	-Inf	1	1877	1
COA7	0	0	0	2152	2	0.0000774272	64598	5	-Inf	1	1877	1
COA8	0	0	0	2152	3	0.0000464857	64598	3	-Inf	1	1877	1
COASY	0	0	0	2152	4	0.0008829489	64598	57	-Inf	0.265898281129845	499.091073680719	1
COCH	0	0	0	2152	1	0.0000774305	64598	5	-Inf	1	1877	1
COG1	0	0	0	2152	1	0.0000154875	64598	1	-Inf	1	1877	1
COG4	0	0	0	2152	3	0.000154979	64598	10	-Inf	1	1877	1
COG5	0	0	0	2152	4	0.000061954	64598	4	-Inf	1	1877	1
COG6	0	0	0	2152	3	0.000092957	64598	6	-Inf	1	1877	1
COG7	1	0.000464684	1	2152	1	0.000216819	64598	14	1.09975878422377	0.388362267551723	728.955976194585	1
COL11A1	1	0.000464684	1	2152	1	0.0000774329	64598	5	2.58523139105061	0.178507578700088	335.058725220065	1
COL11A2	0	0	0	2152	1	0.0000464756	64598	3	-Inf	1	1877	1
COL12A1	0	0	0	2152	5	0.0001084325	64598	7	-Inf	1	1877	1
COL17A1	0	0	0	2152	10	0.0006040367	64598	39	-Inf	0.637984670785712	1197.49722706478	1
COL18A1	1	0.00650558	14	2152	6	0.0021997828	64598	142	1.56431660167625	0.00056225664717134	1.0553557267406	0.0329798664606439
COL1A2	1	0.000464684	1	2152	5	0.0000929334	64598	6	2.32198087540989	0.204994629081207	384.774918785425	1
COL25A1	0	0	0	2152	1	0.0000154919	64598	1	-Inf	1	1877	1
COL27A1	0	0	0	2152	3	0.000077624	64598	5	-Inf	1	1877	1
COL3A1	1	0.000464684	1	2152	2	0.0000310048	64598	2	3.90568648246838	0.0936357732577362	175.754346404771	1
COL4A3	3	0.001395351	3	2152	32	0.0008054738	64598	52	0.79271850944945	0.261152880568009	490.183956826154	1
COL4A4	2	0.001394052	3	2152	18	0.0006505075	64598	42	1.09964678101446	0.176588981633755	331.457518526559	1
COL6A2	0	0	0	2152	9	0.0002327262	64598	15	-Inf	1	1877	1
COL6A3	0	0	0	2152	7	0.0004181419	64598	27	-Inf	1	1877	1
COL7A1	2	0.001858734	4	2152	52	0.0015182456	64598	98	0.291915135452724	0.573419213435985	1076.30786361934	1
COL9A2	0	0	0	2152	1	0.0000155198	64598	1	-Inf	1	1877	1
COLEC10	0	0	0	2152	1	0.0000154943	64598	1	-Inf	1	1877	1
COLQ	0	0	0	2152	11	0.000309807	64598	20	-Inf	1	1877	1
COPB2	0	0	0	2152	1	0.0000619598	64598	4	-Inf	1	1877	1
COQ2	0	0	0	2152	5	0.0001703841	64598	11	-Inf	1	1877	1
COQ4	1	0.000464684	1	2152	9	0.0002168274	64598	14	1.09970289242647	0.388362267551723	728.955976194585	1
COQ8A	1	0.000929368	2	2152	17	0.0008558734	64598	55	0.118852560531778	0.706712675256284	1326.49969145604	1
COQ8B	0	0	0	2152	7	0.0002168073	64598	14	-Inf	1	1877	1
COQ9	0	0	0	2152	1	0.0000154871	64598	1	-Inf	1	1877	1
CORO1A	0	0	0	2152	1	0.0000154856	64598	1	-Inf	1	1877	1
COX15	0	0	0	2152	2	0.0000464732	64598	3	-Inf	1	1877	1
COX20	0	0	0	2152	1	0.0000154928	64598	1	-Inf	1	1877	1
COX6A1	0	0	0	2152	2	0.0000774286	64598	5	-Inf	1	1877	1
COX6A2	0	0	0	2152	1	0.0000465405	64598	3	-Inf	1	1877	1
CP	0	0	0	2152	12	0.0004338754	64598	28	-Inf	1	1877	1
CPA6	0	0	0	2152	2	0.0000929186	64598	6	-Inf	1	1877	1
CPAMD8	0	0	0	2152	2	0.0001858668	64598	12	-Inf	1	1877	1
CPLANE1	1	0.000464684	1	2152	29	0.0016111475	64598	104	-1.79376670238674	0.267958501457134	502.95810723504	1
CPN1	1	0.000464684	1	2152	1	0.0000154895	64598	1	4.90688749093203	0.0634404698960828	119.077761994947	0.908990549579751
CPOX	0	0	0	2152	3	0.0002013481	64598	13	-Inf	1	1877	1
CPS1	0	0	0	2152	11	0.000232781	64598	15	-Inf	1	1877	1
CPT1A	0	0	0	2152	8	0.0003400431	64598	22	-Inf	1	1877	1
CPT2	0	0	0	2152	17	0.0004957341	64598	32	-Inf	0.626368259711495	1175.69322347848	1
CRADD	0	0	0	2152	3	0.0002942522	64598	19	-Inf	1	1877	1
CRAT	1	0.00185874	4	2152	2	0.0009763449	64598	63	0.928862196545197	0.170058990957261	319.200726026779	1
CRB1	2	0.001394052	3	2152	29	0.0010996694	64598	71	0.342214513517903	0.516615610693259	969.687501271247	1
CRB2	1	0.00139405	3	2152	3	0.001941505	64598	125	-0.477893115782711	0.801729925782983	1504.84707069466	1
CRLF1	0	0	0	2152	3	0.0000782802	64598	5	-Inf	1	1877	1
CRPPA	0	0	0	2152	4	0.0003256293	64598	21	-Inf	1	1877	1
CRTAP	0	0	0	2152	2	0.0001548773	64598	10	-Inf	1	1877	1
CRYAB	0	0	0	2152	1	0.0000309885	64598	2	-Inf	1	1877	1
CSF1R	0	0	0	2152	1	0.0000154813	64598	1	-Inf	1	1877	1
CSF2RB	0	0	0	2152	1	0.0000154875	64598	1	-Inf	1	1877	1
CSF3R	0	0	0	2152	3	0.0004955776	64598	32	-Inf	0.626368259711495	1175.69322347848	1
CSGALNACT1	0	0	0	2152	2	0.0000774474	64598	5	-Inf	1	1877	1
CSPP1	2	0.0009298	2	2152	13	0.0006696974	64598	43	0.473411058843673	0.656862613366074	1232.93112528812	1
CSTA	0	0	0	2152	2	0.0000619617	64598	4	-Inf	1	1877	1
CSTB	0	0	0	2152	6	0.0006348504	64598	41	-Inf	0.643566811715534	1207.97490559006	1
CTC1	2	0.003252788	7	2152	12	0.0010533823	64598	68	1.626647674817	0.0105760807178268	19.8513035073609	0.330855058456016
CTDP1	0	0	0	2152	1	0.0000309741	64598	2	-Inf	1	1877	1
CTH	0	0	0	2152	2	0.0001858765	64598	12	-Inf	1	1877	1
CTNNA2	0	0	0	2152	1	0.0000154861	64598	1	-Inf	1	1877	1
CTNS	2	0.001394052	3	2152	13	0.0007934832	64598	51	0.813012793582766	0.252425578229222	473.802810336249	1
CTPS1	0	0	0	2152	1	0.000278715	64598	18	-Inf	1	1877	1
CTSA	0	0	0	2152	6	0.0002478257	64598	16	-Inf	1	1877	1
CTSC	0	0	0	2152	6	0.0002632428	64598	17	-Inf	1	1877	1
CTSD	0	0	0	2152	2	0.0000464641	64598	3	-Inf	1	1877	1
CTSF	0	0	0	2152	3	0.0002168321	64598	14	-Inf	1	1877	1
CTSK	0	0	0	2152	5	0.0000929306	64598	6	-Inf	1	1877	1
CTU2	0	0	0	2152	1	0.00108423	64598	70	-Inf	0.176173585500762	330.67781998493	1
CUBN	3	0.0018596	4	2152	15	0.0015951952	64598	103	0.221259357235747	0.779689394638243	1463.47699373598	1
CUL7	0	0	0	2152	6	0.0001703617	64598	11	-Inf	1	1877	1
CWC27	0	0	0	2152	1	0.0000154871	64598	1	-Inf	1	1877	1
CWF19L1	0	0	0	2152	3	0.0002943185	64598	19	-Inf	1	1877	1
CYB5R3	0	0	0	2152	9	0.0005421509	64598	35	-Inf	0.629605997875451	1181.77045801222	1
CYBA	0	0	0	2152	2	0.0001084512	64598	7	-Inf	1	1877	1
CYBC1	0	0	0	2152	1	0.0000154899	64598	1	-Inf	1	1877	1
CYP11B1	1	0.000464684	1	2152	16	0.0006039634	64598	39	-0.378211154488049	1	1877	1
CYP11B2	0	0	0	2152	6	0.0002788704	64598	18	-Inf	1	1877	1
CYP17A1	1	0.000464684	1	2152	8	0.0003097418	64598	20	0.585183881377339	0.497566813579624	933.932909088954	1
CYP1B1	1	0.000464684	1	2152	16	0.0019047254	64598	123	-2.03526114665397	0.19479473775494	365.629722766022	1
CYP21A2	9	0.026169605	56	2152	19	0.0285584228	64598	1845	-0.126024156913944	0.552890720367111	1037.77588212907	1
CYP24A1	3	0.004182154	9	2152	11	0.0019510896	64598	126	1.09996615501686	0.0431621944018208	81.0154388922177	0.736503989929252
CYP27A1	3	0.003252792	7	2152	21	0.0012078883	64598	78	1.42919152512342	0.0199982929871904	37.5367959369563	0.481240973550722
CYP27B1	0	0	0	2152	6	0.000232353	64598	15	-Inf	1	1877	1
CYP2R1	0	0	0	2152	1	0.0000309828	64598	2	-Inf	1	1877	1
CYP2U1	0	0	0	2152	5	0.000154887	64598	10	-Inf	1	1877	1
CYP4F22	1	0.000464684	1	2152	11	0.0004956412	64598	32	-0.0930461451531253	1	1877	1
CYP4V2	0	0	0	2152	10	0.0003562201	64598	23	-Inf	1	1877	1
CYP7B1	1	0.00185874	4	2152	12	0.0014254749	64598	92	0.382882344331308	0.554796321964986	1041.35269632828	1
D2HGDH	0	0	0	2152	1	0.0000155029	64598	1	-Inf	1	1877	1
DAAM2	1	0.000464684	1	2152	4	0.0019206169	64598	124	-2.04724790147708	0.195887417924819	367.680683444886	1
DAG1	0	0	0	2152	1	0.0000154871	64598	1	-Inf	1	1877	1
DAP3	0	0	0	2152	1	0.0000309943	64598	2	-Inf	1	1877	1
DARS1	0	0	0	2152	4	0.0000931274	64598	6	-Inf	1	1877	1
DARS2	2	0.00325279	7	2152	7	0.0007125649	64598	46	2.19058435995427	0.00151001571272426	2.83429949278344	0.0691292559215474
DBH	0	0	0	2152	5	0.0020291482	64598	131	-Inf	0.0237483099595549	44.5755777940845	0.535192006460609
DBT	0	0	0	2152	5	0.0007125094	64598	46	-Inf	0.406053986886351	762.163333385681	1
DCAF17	0	0	0	2152	2	0.0000310035	64598	2	-Inf	1	1877	1
DCC	0	0	0	2152	1	0.0000309789	64598	2	-Inf	1	1877	1
DCDC2	1	0.000464684	1	2152	4	0.0001084239	64598	7	2.09956716421856	0.230628052185011	432.888853951266	1
DCHS1	0	0	0	2152	1	0.0000309751	64598	2	-Inf	1	1877	1
DCLRE1C	2	0.000929368	2	2152	4	0.000077458	64598	5	3.58476381489419	0.0195852764133734	36.7615638279018	0.477422906855868
DCPS	0	0	0	2152	4	0.0002478382	64598	16	-Inf	1	1877	1
DCT	0	0	0	2152	1	0.0000620059	64598	4	-Inf	1	1877	1
DDB2	0	0	0	2152	2	0.0000309712	64598	2	-Inf	1	1877	1
DDC	0	0	0	2152	7	0.0002013223	64598	13	-Inf	1	1877	1
DDHD1	0	0	0	2152	2	0.0000774281	64598	5	-Inf	1	1877	1
DDHD2	1	0.000465116	1	2152	7	0.0002323098	64598	15	1.00154055386574	0.408085717019449	765.976890845506	1
DDR2	0	0	0	2152	1	0.0000929051	64598	6	-Inf	1	1877	1
DDX11	3	0.001394052	3	2152	7	0.0003872345	64598	25	1.84800497874508	0.0602615659704055	113.110959326451	0.908990549579751
DDX59	0	0	0	2152	1	0.0000154861	64598	1	-Inf	1	1877	1
DEGS1	0	0	0	2152	2	0.0000464545	64598	3	-Inf	1	1877	1
DENND5A	0	0	0	2152	2	0.000046466	64598	3	-Inf	1	1877	1
DGAT1	0	0	0	2152	5	0.0001703879	64598	11	-Inf	1	1877	1
DGKE	0	0	0	2152	1	0.000325208	64598	21	-Inf	1	1877	1
DGUOK	0	0	0	2152	6	0.0001858438	64598	12	-Inf	1	1877	1
DHCR24	0	0	0	2152	1	0.0000464641	64598	3	-Inf	1	1877	1
DHCR7	3	0.014869904	32	2152	43	0.0101287216	64598	654	0.553943238000895	0.0382469731716753	71.7895686432345	0.677260081539948
DHDDS	0	0	0	2152	4	0.0001858406	64598	12	-Inf	1	1877	1
DHFR	0	0	0	2152	2	0.0000443298	64598	3	-Inf	1	1877	1
DHH	0	0	0	2152	1	0.0000154871	64598	1	-Inf	1	1877	1
DHODH	1	0.000464684	1	2152	6	0.0010221404	64598	66	-1.13727150083708	0.726801930814563	1364.20722413894	1
DHTKD1	1	0.000464684	1	2152	7	0.0003717116	64598	24	0.322066259755395	0.559313230855569	1049.8309343159	1
DHX37	0	0	0	2152	4	0.0001238988	64598	8	-Inf	1	1877	1
DIABLO	0	0	0	2152	1	0.0000154904	64598	1	-Inf	1	1877	1
DIS3L2	0	0	0	2152	4	0.0000774281	64598	5	-Inf	1	1877	1
DLAT	0	0	0	2152	2	0.0000775007	64598	5	-Inf	1	1877	1
DLD	1	0.000464684	1	2152	5	0.0000774405	64598	5	2.58508979821002	0.178507578700088	335.058725220065	1
DLL3	0	0	0	2152	3	0.0001086586	64598	7	-Inf	1	1877	1
DMGDH	1	0.000464684	1	2152	1	0.000061931	64598	4	2.90751632427027	0.151138487767055	283.686941538762	1
DMP1	0	0	0	2152	2	0.0000464669	64598	3	-Inf	1	1877	1
DMXL2	0	0	0	2152	1	0.0000619751	64598	4	-Inf	1	1877	1
DNA2	1	0.000464684	1	2152	3	0.0003251852	64598	21	0.514988372615632	0.513770206664739	964.346677909715	1
DNAAF1	0	0	0	2152	7	0.0002635392	64598	17	-Inf	1	1877	1
DNAAF11	0	0	0	2152	3	0.000294318	64598	19	-Inf	1	1877	1
DNAAF3	2	0.000929368	2	2152	7	0.0003564582	64598	23	1.38251706158625	0.192153876007328	360.672825265754	1
DNAAF4	0	0	0	2152	7	0.000372743	64598	24	-Inf	1	1877	1
DNAAF5	0	0	0	2152	1	0.0000309665	64598	2	-Inf	1	1877	1
DNAH1	0	0	0	2152	13	0.000697044	64598	45	-Inf	0.405325979328576	760.796863199738	1
DNAH11	3	0.001394052	3	2152	37	0.0013166912	64598	85	0.0823673427333677	0.762361687471657	1430.9528873843	1
DNAH17	2	0.000929368	2	2152	2	0.0000309707	64598	2	4.90727407452843	0.00596909988143367	11.204000477451	0.219686283871588
DNAH2	0	0	0	2152	1	0.0000464698	64598	3	-Inf	1	1877	1
DNAH8	2	0.001394052	3	2152	13	0.0012893817	64598	83	0.112604963868706	0.757725934562178	1422.25157917321	1
DNAH9	0	0	0	2152	2	0.0000619521	64598	4	-Inf	1	1877	1
DNAI1	0	0	0	2152	8	0.0012699482	64598	82	-Inf	0.117214876905599	220.01232395181	1
DNAJB2	1	0.00139405	3	2152	1	0.000263305	64598	17	2.40447548422414	0.02532121105909	47.527913157912	0.545197416187888
DNAJC12	0	0	0	2152	3	0.0000619425	64598	4	-Inf	1	1877	1
DNAJC19	0	0	0	2152	3	0.0001084507	64598	7	-Inf	1	1877	1
DNAJC21	0	0	0	2152	2	0.0000619637	64598	4	-Inf	1	1877	1
DNAJC3	0	0	0	2152	3	0.0000464804	64598	3	-Inf	1	1877	1
DNM1L	0	0	0	2152	1	0.0000154919	64598	1	-Inf	1	1877	1
DNM2	0	0	0	2152	1	0.000108413	64598	7	-Inf	1	1877	1
DNMBP	0	0	0	2152	1	0.000015488	64598	1	-Inf	1	1877	1
DNMT3B	0	0	0	2152	3	0.0000774291	64598	5	-Inf	1	1877	1
DOCK3	2	0.001394052	3	2152	2	0.001533468	64598	99	-0.137513684484498	1	1877	1
DOCK6	2	0.001397533	3	2152	10	0.0009609247	64598	62	0.540387061839535	0.468288429948492	878.977383013318	1
DOCK7	0	0	0	2152	2	0.0000620088	64598	4	-Inf	1	1877	1
DOCK8	0	0	0	2152	3	0.0000464661	64598	3	-Inf	1	1877	1
DOK7	3	0.001858736	4	2152	7	0.0018990563	64598	123	-0.0309608007576674	1	1877	1
DOLK	0	0	0	2152	1	0.0000309895	64598	2	-Inf	1	1877	1
DONSON	0	0	0	2152	5	0.0002013569	64598	13	-Inf	1	1877	1
DPAGT1	0	0	0	2152	4	0.0000929469	64598	6	-Inf	1	1877	1
DPH1	0	0	0	2152	1	0.0000154899	64598	1	-Inf	1	1877	1
DPM1	0	0	0	2152	3	0.0001704091	64598	11	-Inf	1	1877	1
DPM3	0	0	0	2152	1	0.0000309703	64598	2	-Inf	1	1877	1
DPY19L2	1	0.000464684	1	2152	3	0.0004958054	64598	32	-0.093524013608935	1	1877	1
DPYD	1	0.000464684	1	2152	11	0.0003098929	64598	20	0.584480269313653	0.497566813579624	933.932909088954	1
DPYS	2	0.000929368	2	2152	7	0.0007124445	64598	46	0.383472339389463	0.668265667842297	1254.33465853999	1
DRAM2	0	0	0	2152	3	0.0000775055	64598	5	-Inf	1	1877	1
DRC1	0	0	0	2152	2	0.0000774368	64598	5	-Inf	1	1877	1
DSG4	0	0	0	2152	4	0.0000619435	64598	4	-Inf	1	1877	1
DSP	0	0	0	2152	8	0.0001858457	64598	12	-Inf	1	1877	1
DST	0	0	0	2152	10	0.0003718335	64598	24	-Inf	1	1877	1
DUOX2	1	0.00139795	3	2152	17	0.0054851587	64598	354	-1.97222060092095	0.006115584831302	11.4789527283539	0.220749090929882
DUOXA2	0	0	0	2152	2	0.0000309779	64598	2	-Inf	1	1877	1
DYM	0	0	0	2152	3	0.0000774896	64598	5	-Inf	1	1877	1
DYNC2I1	0	0	0	2152	3	0.0000465125	64598	3	-Inf	1	1877	1
DYNC2I2	0	0	0	2152	8	0.0002168203	64598	14	-Inf	1	1877	1
DYNC2LI1	1	0.00139405	3	2152	16	0.0005731705	64598	37	1.28224604303005	0.13773075736386	258.520631571966	1
DYSF	0	0	0	2152	39	0.0010532639	64598	68	-Inf	0.175949321913637	330.256877231897	1
DZIP1	0	0	0	2152	1	0.0000155458	64598	1	-Inf	1	1877	1
DZIP1L	1	0.000464684	1	2152	2	0.0005264806	64598	34	-0.180130400311494	1	1877	1
EARS2	2	0.000929368	2	2152	11	0.0010530554	64598	68	-0.18025946090194	1	1877	1
ECEL1	0	0	0	2152	6	0.0001860077	64598	12	-Inf	1	1877	1
ECHS1	1	0.000465116	1	2152	17	0.0010842106	64598	70	-1.22098254233152	0.730672392026912	1371.47207983451	1
ECM1	0	0	0	2152	5	0.0003873731	64598	25	-Inf	1	1877	1
EDAR	0	0	0	2152	6	0.0001703841	64598	11	-Inf	1	1877	1
EDNRB	0	0	0	2152	3	0.0001086071	64598	7	-Inf	1	1877	1
EFEMP2	1	0.000464684	1	2152	1	0.0000154885	64598	1	4.9069806341331	0.0634404698960828	119.077761994947	0.908990549579751
EIF2AK4	0	0	0	2152	9	0.000325263	64598	21	-Inf	1	1877	1
EIF2B1	0	0	0	2152	1	0.0000154875	64598	1	-Inf	1	1877	1
EIF2B2	1	0.00139405	3	2152	5	0.000743557	64598	48	0.906767060335681	0.226528635556107	425.194248938813	1
EIF2B3	0	0	0	2152	3	0.0001239672	64598	8	-Inf	1	1877	1
EIF2B4	0	0	0	2152	5	0.000077432	64598	5	-Inf	1	1877	1
EIF2B5	2	0.000929368	2	2152	8	0.0008362299	64598	54	0.152350341926088	0.702255270363314	1318.13314247194	1
ELAC2	0	0	0	2152	5	0.0001703453	64598	11	-Inf	1	1877	1
ELMO2	0	0	0	2152	1	0.0000154842	64598	1	-Inf	1	1877	1
ELP1	1	0.000464684	1	2152	6	0.0001084033	64598	7	2.09984129512033	0.230628052185011	432.888853951266	1
ELP2	2	0.000929368	2	2152	4	0.0001238965	64598	8	2.9071145380209	0.0393653413150422	73.8887456483343	0.677878400443434
EMC1	0	0	0	2152	1	0.0000154861	64598	1	-Inf	1	1877	1
EMG1	0	0	0	2152	1	0.0000154856	64598	1	-Inf	1	1877	1
EMP2	1	0.000464684	1	2152	0	0	64598	0	Inf	0.0322397003745318	60.5139176029962	0.605139176029962
ENAM	2	0.003252788	7	2152	2	0.000681526	64598	44	2.25483619644717	0.0011991935310978	2.25088625787058	0.0577150322530917
ENO3	0	0	0	2152	1	0.0000154847	64598	1	-Inf	1	1877	1
ENPP1	1	0.000929368	2	2152	4	0.0001239071	64598	8	2.90699111311955	0.0393653413150422	73.8887456483343	0.677878400443434
ENTPD5	0	0	0	2152	3	0.0002168008	64598	14	-Inf	1	1877	1
EOGT	0	0	0	2152	4	0.0002323049	64598	15	-Inf	1	1877	1
EPCAM	0	0	0	2152	1	0.0000309837	64598	2	-Inf	1	1877	1
EPG5	0	0	0	2152	5	0.0001085058	64598	7	-Inf	1	1877	1
EPHB2	0	0	0	2152	1	0.0000154919	64598	1	-Inf	1	1877	1
EPM2A	0	0	0	2152	6	0.0002176406	64598	14	-Inf	1	1877	1
EPRS1	0	0	0	2152	2	0.0000774339	64598	5	-Inf	1	1877	1
ERAL1	0	0	0	2152	1	0.0000154919	64598	1	-Inf	1	1877	1
ERBB3	1	0.000464684	1	2152	4	0.0003565471	64598	23	0.382157301035242	0.54462685666164	1022.2646099539	1
ERCC1	1	0.000464684	1	2152	2	0.0002168049	64598	14	1.09985260746591	0.388362267551723	728.955976194585	1
ERCC2	1	0.00140187	3	2152	16	0.0013481596	64598	87	0.0563612716347314	0.767152720786518	1439.9456569163	1
ERCC3	2	0.001394052	3	2152	9	0.0008207868	64598	53	0.764204942025372	0.42938180234407	805.94964299982	1
ERCC4	1	0.000929368	2	2152	4	0.0002942502	64598	19	1.65920657497184	0.145961614274758	273.969949993721	1
ERCC5	0	0	0	2152	8	0.0002168054	64598	14	-Inf	1	1877	1
ERCC6	1	0.000464684	1	2152	24	0.0007436041	64598	48	-0.67828475402113	1	1877	1
ERCC6L2	1	0.00139405	3	2152	2	0.0005576443	64598	36	1.32186522640049	0.130345056181992	244.6576704536	1
ERCC8	1	0.000464684	1	2152	10	0.000341477	64598	22	0.444461560988795	0.529451277808149	993.780048445896	1
ERLIN1	0	0	0	2152	1	0.000015488	64598	1	-Inf	1	1877	1
ERLIN2	0	0	0	2152	2	0.0000309732	64598	2	-Inf	1	1877	1
ESCO2	0	0	0	2152	12	0.0002169585	64598	14	-Inf	1	1877	1
ESPN	0	0	0	2152	1	0.0000154875	64598	1	-Inf	1	1877	1
ESRP1	0	0	0	2152	1	0.0000154871	64598	1	-Inf	1	1877	1
ETFA	1	0.000465116	1	2152	5	0.0002947725	64598	19	0.657988631061068	0.480823708850821	902.506101512991	1
ETFB	0	0	0	2152	3	0.0000464617	64598	3	-Inf	1	1877	1
ETFDH	0	0	0	2152	23	0.0008983203	64598	58	-Inf	0.26630429952913	499.853170216177	1
ETHE1	0	0	0	2152	6	0.000170446	64598	11	-Inf	1	1877	1
EVC	1	0.000929368	2	2152	15	0.0005039896	64598	33	0.882856007306214	0.312105754206181	585.822500645002	1
EVC2	1	0.000464684	1	2152	17	0.0004806926	64598	31	-0.0488646233180889	1	1877	1
EXOC8	0	0	0	2152	1	0.0000154895	64598	1	-Inf	1	1877	1
EXOSC2	0	0	0	2152	1	0.00010842	64598	7	-Inf	1	1877	1
EXOSC3	1	0.000929368	2	2152	5	0.001145812	64598	74	-0.302048476255654	1	1877	1
EXOSC8	0	0	0	2152	1	0.0000154866	64598	1	-Inf	1	1877	1
EXOSC9	0	0	0	2152	1	0.0000309703	64598	2	-Inf	1	1877	1
EXPH5	0	0	0	2152	1	0.0000154895	64598	1	-Inf	1	1877	1
EXT2	0	0	0	2152	2	0.0000309794	64598	2	-Inf	1	1877	1
EXTL3	0	0	0	2152	2	0.0000309689	64598	2	-Inf	1	1877	1
