Gene_panel	genes_in_panel	POL_SNP_cum_AF_sum	POL_SNP_cum_AC_sum	POL_SNP_cum_AN_sum_adjusted	POL_number_unique_variants_sum	gnomAD_NFE_SNP_cum_AF_sum	gnomAD_NFE_SNP_cum_AC_sum	gnomAD_NFE_SNP_cum_AN_sum_adjusted	gnomAD_NFE_number_unique_variants_sum	cum_AF_fold_change	fisher_p	fisher_p_corr	fisher_q
Congenital hypothyroidism	15	0.012086114	26	32280	26	0.0143927712	930	968970	929	-0.25199394174937	0.462565155222838	114.716158495264	0.642815040326449
Choanal atresia	4	0.00420168	9	8608	9	0.0055687732	360	258392	360	-0.406393246518865	0.462586524347071	114.721458038074	0.642815040326449
Non-acute porphyrias	3	0.001394052	3	6456	3	0.0009755804	63	193794	63	0.514951697738006	0.473378912769447	117.397970366823	0.651804705820384
Adult onset movement disorder	27	0.016728626	36	58104	36	0.0192113741	1241	1744146	1240	-0.199641756966048	0.475147355644766	117.836544199902	0.651804705820384
Corneal abnormalities	12	0.002788104	6	25824	6	0.0040616759	262	775176	262	-0.542790748222988	0.486807916075331	120.728363186682	0.663547095796949
Craniosynostosis	17	0.014440317	31	36584	31	0.0128474297	830	1098166	829	0.168622655364909	0.499143238481044	123.787523143299	0.676054766043946
CAKUT	22	0.019516746	42	47344	42	0.0175947348	1137	1421156	1136	0.149568765452106	0.508581887523017	126.128308105708	0.684506439810853
Glaucoma (developmental)	9	0.003252792	7	19368	7	0.0025720036	166	581382	166	0.338785910109727	0.51347986767575	127.343007183586	0.686779323016316
Parkinson Disease and Complex Parkinsonism	21	0.008850296	19	45192	19	0.0104759352	677	1356558	676	-0.243281428534261	0.520240156025838	129.019558694408	0.689784312899126
Atypical haemolytic uraemic syndrome	2	0.000464684	1	4304	1	0.0011614679	75	129196	75	-1.3216274063601	0.522425604232866	129.561549849751	0.689784312899126
Early onset dystonia	32	0.017214608	37	68864	37	0.0194921463	1259	2067136	1258	-0.179259626799917	0.528501248813079	131.068309705644	0.689784312899126
Cardiac arrhythmias	4	0.000464684	1	8608	1	0.0012859466	83	258392	83	-1.46850885886137	0.528710190601052	131.120127269061	0.689784312899126
Sudden cardiac death	5	0.000464684	1	10760	1	0.0013169361	85	322990	85	-1.50286346931379	0.531843044992317	131.897075158094	0.689784312899126
Pigmentary skin disorders	38	0.030704268	66	81776	66	0.0286026273	1848	2454724	1846	0.102291537031771	0.559988529504526	138.877155317122	0.721912923578124
Structural eye disease	62	0.02138416	46	133424	46	0.0236384484	1527	4005076	1525	-0.144592804585596	0.56751693089868	140.744198862873	0.725184811163851
Pneumothorax - familial	1	0.00232342	5	2152	5	0.0034531365	223	64598	223	-0.571657393188296	0.569303963904332	141.187383048274	0.725184811163851
Erythropoietic protoporphyria, mild variant	1	0.000464684	1	2152	1	0.0003871101	25	64598	25	0.263506021682992	0.573526163447534	142.234488534988	0.726240230637706
Insulin resistance (including lipodystrophy)	10	0.005111526	11	21520	11	0.0045900874	297	645980	296	0.155232434760925	0.630157911285982	156.279161998924	0.790063811122377
Sudden death in young people	2	0.001394052	3	4304	3	0.0021224241	137	129196	137	-0.606428585828653	0.633661577374053	157.148071188765	0.790063811122377
Congenital adrenal hypoplasia	8	0.001394052	3	17216	3	0.0021835456	141	516784	141	-0.647388283245027	0.635004558472191	157.481130501103	0.790063811122377
Cutaneous photosensitivity with a likely genetic cause	5	0.002821924	6	10760	6	0.0023245924	150	322990	150	0.27970136128156	0.645517783252294	160.088410246569	0.798501766566422
Severe multi-system atopic disease with high IgE	3	0.000929368	2	6456	2	0.0007146462	46	193794	46	0.37902078744302	0.668302068831332	165.73891307017	0.821934728332787
Rare genetic inflammatory skin disorders	11	0.003253652	7	23672	7	0.0028653044	185	710578	185	0.183371539267771	0.680575709965938	168.782776071553	0.832246868186919
Hearing loss	65	0.042752651	92	139880	92	0.0410977984	2655	4198870	2653	0.0569527700692433	0.705083333360953	174.860666673516	0.857317234882067
Congenital myopathy	30	0.006970264	15	64560	15	0.0080758542	522	1937940	522	-0.212401565289023	0.712960408314739	176.814181262055	0.858698991873179
Pituitary hormone deficiency	7	0.008828988	19	15064	19	0.0081169549	524	452186	524	0.121309484617192	0.71424495585713	177.132749052568	0.858698991873179
Neurodegenerative disorders - adult onset	40	0.029762382	64	86080	64	0.0285505433	1844	2583920	1843	0.0599717961163031	0.745547450923328	184.895767828985	0.891324885461409
Gastrointestinal epithelial barrier disorders	23	0.00511282	11	49496	11	0.0048483426	313	1485754	313	0.0766275879061059	0.754248635019907	187.053661484937	0.896717821634778
Non-syndromic familial congenital anorectal malformations	1	0.001427872	3	2152	3	0.001349012	87	64598	87	0.0819634746771043	0.767152720786518	190.253874755057	0.897107553269481
Sarcoma cancer susceptibility	1	0.001427872	3	2152	3	0.001349012	87	64598	87	0.0819634746771043	0.767152720786518	190.253874755057	0.897107553269481
Sarcoma susceptibility	1	0.001427872	3	2152	3	0.001349012	87	64598	87	0.0819634746771043	0.767152720786518	190.253874755057	0.897107553269481
Familial dysautonomia	9	0.00186047	4	19368	4	0.0015984793	103	581382	103	0.218967065639134	0.77981711214639	193.394643812305	0.902394130904703
Head and neck cancer pertinent cancer susceptibility	10	0.014405638	31	21520	31	0.0138478492	895	645980	894	0.0569716370271791	0.780107075782103	193.466554793962	0.902394130904703
Iron metabolism disorders	13	0.007434944	16	27976	16	0.0071566451	462	839774	462	0.0550384381548003	0.796035024904116	197.416686176221	0.913216192481865
Brain cancer pertinent cancer susceptibility	1	0.001858736	4	2152	4	0.0018123205	117	64598	117	0.0364837644441218	0.797997327075275	197.903337114668	0.913216192481865
Neonatal cholestasis	53	0.060874416	131	114056	131	0.0624937526	4037	3423694	4035	-0.0378759463428749	0.826283262669265	204.918249141978	0.940556479846929
Anophthalmia or microphthalmia	18	0.003253218	7	38736	7	0.0031008459	200	1162764	200	0.0692056700479423	0.842803872314141	209.015360333907	0.948578577127936
Mucopolysaccharideosis, Gaucher, Fabry	15	0.013012881	28	32280	28	0.0126906782	820	968970	819	0.0361712343350278	0.845790387855581	209.756016188184	0.948578577127936
Haematological malignancies for rare disease	36	0.027881474	60	77472	60	0.0289895439	1873	2325528	1871	-0.0562258016135762	0.846628543137551	209.963878698113	0.948578577127936
Inherited bleeding disorders	58	0.033924089	73	124816	73	0.0332230049	2146	3746684	2145	0.0301275082020577	0.856758327595156	212.476065243599	0.954928552632101
Renal tubulopathies	16	0.007902669	17	34432	17	0.0083815417	541	1033568	541	-0.0848756547721443	0.904831397991653	224.39818670193	1
White matter disorders - adult onset	55	0.048329292	104	118360	104	0.0491045003	3172	3552890	3170	-0.0229573896967032	0.92116595874196	228.449157768006	1
Neurofibromatosis Type 1	16	0.016264374	35	34432	35	0.0168270115	1087	1033568	1086	-0.0490636793146217	0.932566584770746	231.276513023145	1
Ketotic hypoglycaemia	25	0.022769498	49	53800	49	0.0227088185	1467	1614950	1466	0.00384983756739903	0.942033974162272	233.624425592243	1
Adult solid tumours cancer susceptibility	20	0.027425468	59	43040	59	0.0279880038	1808	1291960	1807	-0.0292923530353983	0.947701457278082	235.029961404964	1
Skeletal ciliopathies	28	0.027881488	60	60256	60	0.0285245362	1843	1808744	1842	-0.0328958708528883	0.948180770799167	235.148831158194	1
Diabetes - neonatal onset	16	0.000464684	1	34432	1	0.0006200237	40	1033568	40	-0.416073391800316	1	248	1
Inherited non-medullary thyroid cancer	1	0.000464684	1	2152	1	0.0008523552	55	64598	55	-0.875204795878784	1	248	1
Thyroid cancer pertinent cancer susceptibility	1	0.000464684	1	2152	1	0.0008523552	55	64598	55	-0.875204795878784	1	248	1
Bleeding and platelet disorders	52	0.026024463	56	111904	56	0.0261896562	1692	3359096	1691	-0.00912872645344387	1	248	1
Infantile enterocolitis & monogenic inflammatory bowel disease	17	0.002788534	6	36584	6	0.0032230946	208	1098166	208	-0.208939671532655	1	248	1
Familial non syndromic congenital heart disease	5	0.000464684	1	10760	1	0.0008833108	57	322990	57	-0.926671180212175	1	248	1
Lipodystrophy - childhood onset	5	0.000929368	2	10760	2	0.0009786894	63	322990	63	-0.074601103325599	1	248	1
Disorders of sex development	18	0.042433561	91	38736	91	0.0424198155	2740	1162764	2740	0.000467407796270787	1	248	1
Neuronal ceroid lipofuscinosis	11	0.00464684	10	23672	10	0.0048952541	316	710578	316	-0.0751337775203414	1	248	1
Mitochondrial disorder with complex III deficiency	6	0.000464684	1	12912	1	0.0007743453	50	387588	50	-0.736727072945562	1	248	1
Catecholaminergic polymorphic VT	2	0.000464684	1	4304	1	0.0007902356	51	129196	51	-0.766032870156881	1	248	1
Ductal plate malformation	4	0.003252788	7	8608	7	0.0035784554	231	258392	231	-0.137660200772034	1	248	1
Extreme early-onset hypertension	3	0.000464684	1	6456	1	0.0005110956	33	193794	33	-0.137343200465552	1	248	1
Hypogonadotropic hypogonadism	19	0.00789962	17	40888	17	0.0083031792	536	1227362	536	-0.071880578836106	1	248	1
Auditory Neuropathy Spectrum Disorder	2	0.000464684	1	4304	1	0.0008828685	57	129196	57	-0.925948598954514	1	248	1
Cerebral vascular malformations	4	0.000464684	1	8608	1	0.0007743537	50	258392	50	-0.736742723034242	1	248	1
